,type,action
805,care.virtue,"free space , CHAR_0 sort box contribute useable clothing toy local charity ."
806,care.virtue,"CHAR_0 tell friend love get together laugh like that , favorite part life ."
807,care.virtue,"char_0 boyfriend share laughter parent , love friendly ."
808,care.virtue,CHAR_0 explain mother embarrassed people important he .
809,care.virtue,CHAR_0 speak angry stream profanity mother .
810,care.virtue,CHAR_0 start work second part - time job charity help homeless .
811,care.virtue,CHAR_0 say bill offer help find person belong to .
812,care.virtue,CHAR_0 say low grade improve want help child study .
813,care.virtue,CHAR_0 suggest friend talk mental health professional .
814,care.virtue,"CHAR_0 take grocery inside first gets distract , leave child die heatstroke car ."
815,care.virtue,Felton ask CHAR_0 help act scene favorite movie .
816,care.virtue,CHAR_0 help wife laundry dish .
817,care.virtue,CHAR_0 give furniture neighbor help move home .
818,care.virtue,CHAR_0 get safety call police .
819,care.virtue,CHAR_0 listen man patiently offer small monetary help .
820,care.virtue,Clayton recite inspirational quote offer help CHAR_0 study .
821,care.virtue,"CHAR_0 tell police officer wife labor , rush hospital ."
822,care.virtue,CHAR_0 ask mother would willing buy bar chocolate .
823,care.virtue,CHAR_0 give $ 500 local charity help feed homeless people area .
824,care.virtue,"CHAR_0 start talk rapidly , keep voice appropriate level indoor conversation , tell mother everything day ."
825,care.virtue,"CHAR_0 visit ex - boyfriend 's mother , try talk ex all ."
826,care.virtue,CHAR_0 say face masks coronavirus pandemic helpful .
827,care.virtue,CHAR_0 tell parent got lay need help want work it .
828,care.virtue,CHAR_0 help wife identify effective work strategy succeed without burn out .
829,care.virtue,CHAR_0 help step - mother carry grocery car .
830,care.virtue,CHAR_0 seek help concern mental health professional .
831,care.virtue,CHAR_0 tell wife prescription thus share could dangerous .
832,care.virtue,CHAR_0 decide use much benefit possible go annual checkup doctor .
833,care.virtue,Lacy smile friend text link help past .
834,care.virtue,CHAR_0 think everything child probably decide open house heart foster child .
835,care.virtue,"CHAR_0 can not seem enjoy play toy , come clean mother explain lie chore ."
836,care.virtue,"CHAR_0 tell wife know woman , really care die ."
837,care.virtue,"CHAR_0 take shower , put deodorant , put clean clothe go pick date ."
838,care.virtue,CHAR_0 find kind clothe friend like get shirt .
839,care.virtue,CHAR_0 put unused clothe trash bag store garage .
840,care.virtue,CHAR_0 go cousin give big hug .
841,care.virtue,CHAR_0 go teacher help cry scream situation home .
842,care.virtue,CHAR_0 get postcard way hotel write mother he 's concierge send it .
843,care.virtue,CHAR_0 check car safe distance .
844,care.virtue,CHAR_0 pay child support court order pay .
845,care.virtue,CHAR_0 ignore court order pay child support .
846,care.virtue,CHAR_0 feed cat .
847,care.virtue,"CHAR_0 decide care issue weight , go see doctor ."
848,care.virtue,CHAR_0 get bill sit beside mother show shopping habit harm house budget .
849,care.virtue,"CHAR_0 try give Summer hug , inform wants maintain social distance , complie ask do ."
850,care.virtue,CHAR_0 welcome low - income family introduce child theirs .
851,care.virtue,CHAR_0 refuse acknowledge arrive low - income family take child nearby walk trail another family hiking .
852,care.virtue,CHAR_0 make sure son buckle safely carseat .
853,care.virtue,CHAR_0 give house thorough cleaning wash dish clothe .
854,care.virtue,CHAR_0 minimal cleaning leave bunch dirty dish clothe lie around .
855,care.virtue,CHAR_0 call therapy hotline talk pain care therapist .
856,care.virtue,CHAR_0 see woman need help call 911 take taxi work time .
857,care.virtue,Lester tell CHAR_0 convince they will together forever love much .
858,care.virtue,CHAR_0 tell parent feel ask get medical help .
859,care.virtue,CHAR_0 ask child pick toy put toy chest .
860,care.virtue,CHAR_0 express concern health consequence let partner decide do .
861,care.virtue,"CHAR_0 wait patiently mother cut pan brownies portion , take couple eat ."
862,care.virtue,CHAR_0 wait safe pull side road answer phone .
863,care.virtue,CHAR_0 decides play safe rides board sidewalk .
864,care.virtue,CHAR_0 call emergency service ask rescue poor cat .
865,care.virtue,CHAR_0 comment patient accept help .
866,care.virtue,CHAR_0 donate shirt charity .
867,care.virtue,CHAR_0 decide let person reproduce want nothing child 's testacle .
868,care.virtue,CHAR_0 tell wife indoor voice might kill pigeon feed human food .
869,care.virtue,CHAR_0 show son properly safely use jigsaw watch make practice cut scrap wood cut piece bird house .
870,care.virtue,Sophie tell CHAR_0 never experience depression want able help .
871,care.virtue,CHAR_0 rant mother situation brother .
872,care.virtue,CHAR_0 hire lawn care service take care lawn every week .
873,care.virtue,Rafael make sure give child one gift pick specifically they .
874,care.virtue,"jamal point CHAR_0 care other , other care too ."
875,care.virtue,CHAR_0 share burden parent school official .
876,care.virtue,CHAR_0 leave waitress generous tip service .
877,care.virtue,CHAR_0 talk ex - girlfriend decide date start visit child .
878,care.virtue,CHAR_0 see son ex - girlfriend order sign right child .
879,care.virtue,Eli go hospital bring CHAR_0 plate freshly baked brownie .
880,care.virtue,"CHAR_0 offer help grandmother around house extra money , start restore car soon ."
881,care.virtue,CHAR_0 convince school board work local public health official come safety measure protect student return school .
882,care.virtue,CHAR_0 put help want ad order find qualified candidate hire people variety religious background .
883,care.virtue,CHAR_0 tell friend love wife day marry .
884,care.virtue,CHAR_0 ask friend help find someone good date .
885,care.virtue,CHAR_0 call friend express concern health offer support provide .
886,care.virtue,CHAR_0 help friend contact security company install surveillance camera around house .
887,care.virtue,"CHAR_0 go see prostitute comfort , always available ."
888,care.virtue,CHAR_0 spend time friend tell exercise alleviate depression .
889,care.virtue,CHAR_0 accept waiter apology ask help clean jacket .
890,care.virtue,CHAR_0 go sparrow take home nurse back health .
891,care.virtue,""" CHAR_0 speak assistant , Linda , "" "" could please huge favor get page print I ? it ’ll great help "" "" . """
892,care.virtue,CHAR_0 walk coworker ask would like help problem .
893,care.virtue,CHAR_0 offer help friend pay rent use leftover money go small local trip .
894,care.virtue,CHAR_0 take child 's device away pick toy .
895,care.virtue,CHAR_0 hire expert help streamline operation increase profit .
896,care.virtue,"CHAR_0 tell mother want invite whole class , well get start invitation ."
897,care.virtue,CHAR_0 work correct child show well way act .
898,care.virtue,CHAR_0 give tenant two week leave help tenant find temporary shelter .
899,care.virtue,CHAR_0 help grandparent around house entire weekend thank gracious host broach subject financial problem .
900,care.virtue,"CHAR_0 spend time get know child , forgive first break rule ."
901,care.virtue,CHAR_0 sit share insecurity girlfriend brother .
902,care.virtue,"CHAR_0 upon ask assist parent errand , say rush help return errand ."
903,care.virtue,CHAR_0 say motorcycle safe offer help buy son car .
904,care.virtue,CHAR_0 spend hour play care dog go bar .
905,care.virtue,CHAR_0 help person carry bag car head car .
906,care.virtue,CHAR_0 talk son importance take care thing tell he will need help pay repair bike .
907,care.virtue,CHAR_0 lay bed child thinking way make sure situation happen again .
908,care.virtue,CHAR_0 decide want learn culture black people agree help .
909,care.virtue,CHAR_0 tell boss refuse work black people help they .
910,care.virtue,Dr. CHAR_0 start talk patient neutral topic family work .
911,care.virtue,"CHAR_0 decide get taxis do professional year , able help save money ."
912,care.virtue,"CHAR_0 tell Helen love it , mention already own one ."
913,care.virtue,CHAR_0 tell wife love dearly would like sex life exciting .
914,care.virtue,CHAR_0 help neighbor bring bag house go home .
915,care.virtue,CHAR_0 treat ex - wife poorly refuse give financial support child .
916,care.virtue,CHAR_0 put bandaid wound drive hospital get stitch .
917,care.virtue,CHAR_0 calm focus drive safe .
918,care.virtue,CHAR_0 help cashier bag grocery move thing along .
919,care.virtue,CHAR_0 stay back help coworker presentation .
920,care.virtue,"CHAR_0 rearrange schedule take care cat , develop relationship it ."
921,care.virtue,CHAR_0 start organization help hispanic actor get role .
922,care.virtue,"Jake tell CHAR_0 look like might need help do , he be CHAR_0 need he ."
923,care.virtue,trevor help CHAR_0 stand help get stair .
924,care.virtue,"CHAR_0 agree help trevor , go store bring grocery ."
925,care.virtue,CHAR_0 host project meeting local bar use group help get introduce new people .
926,care.virtue,CHAR_0 take shower try put clothe date .
927,care.virtue,Barbra share link official website tip mask useful information .
928,care.virtue,CHAR_0 decide hire caretaker take mom appointment help thing around house .
929,care.virtue,CHAR_0 invite friend help pour driveway weekend afternoon disturb anyone 's sleep .
930,care.virtue,Leanne go department store buy CHAR_0 new clothe new style .
931,care.virtue,"CHAR_0 decide thankful parent care explain feeling , allow visit friend wear mask ."
932,care.virtue,"CHAR_0 save himself , pay son 's surgery along give money help recovery period ."
933,care.virtue,CHAR_0 tell mother struggle class need help .
934,care.virtue,CHAR_0 get book read bedtime story child .
935,care.virtue,CHAR_0 take toy away child throw trash .
936,care.virtue,CHAR_0 talk good time friend Han tie Han help he .
937,care.virtue,CHAR_0 bring daughter 's cat see vet learns care animal 's arthritis .
938,care.virtue,CHAR_0 tell man refuse help someone bad value walk away .
939,care.virtue,CHAR_0 tell family never fully leave love despite abuse .
940,care.virtue,CHAR_0 select plan cover woman 's health concern well men .
941,care.virtue,CHAR_0 vote man convict molest child .
942,care.virtue,"CHAR_0 tell daughter heavy directly , offer help diet ."
943,care.virtue,CHAR_0 ask neighbor take care mother he be work .
944,care.virtue,Samantha talk CHAR_0 help make plan ask boy out .
945,care.virtue,CHAR_0 spend day help friend learn skateboard .
946,care.virtue,CHAR_0 refuse help friend .
947,care.virtue,CHAR_0 ask coworker help move pallet instruct use forklift .
948,care.virtue,CHAR_0 order extra large pizza share coworker .
949,care.virtue,Leona express concern CHAR_0 's health invite gym .
950,care.virtue,CHAR_0 immediately call child 's parent child eat tell contact case emergency .
951,care.virtue,"zack tell wife come give great big hug , pull tight , watch game behind she ."
952,care.virtue,CHAR_0 know help community important make sure employee special need task helpful within capability .
953,care.virtue,CHAR_0 change topic boy one girl try bring classmate 's mental health .
954,care.virtue,CHAR_0 sign share petition call police officer hold accountable kill unarmed black people .
955,care.virtue,"CHAR_0 talk explain would like save money , ask could help pay large share bill ."
956,care.virtue,CHAR_0 work hard maintain healthy work / personal life balance .
957,care.virtue,CHAR_0 explain tired offer help another day .
958,care.virtue,CHAR_0 approach child 's parent ask patch be .
959,care.virtue,CHAR_0 offer seat child hold onto overhead strap keep fall get stop .
960,care.virtue,CHAR_0 talk customer service agent tell helpful solving problem .
961,care.virtue,CHAR_0 put money table cover share walk out .
962,care.virtue,CHAR_0 decide help colleague polish presentation stay late work project .
963,care.virtue,CHAR_0 tell conversational partner call back hang phone attempt help woman red .
964,care.virtue,"CHAR_0 use superior business skill knowledge direct people 's project wisely , help complete successfully ."
965,care.virtue,CHAR_0 stop take dog house care it .
966,care.vice,CHAR_0 tell class think woman secretly wish sexually assault .
967,care.vice,CHAR_0 yell coworker turn radio threatens make complaint boss .
968,care.vice,CHAR_0 begin blame problem grow resent point think harm fix .
969,care.vice,CHAR_0 punch woman face run he .
970,care.vice,CHAR_0 start correspondence convict serial killer soon develop friendship he .
971,care.vice,"CHAR_0 find video someone hurt find exciting , watch whole video ."
972,care.vice,CHAR_0 use age power sexually abuse niece .
973,care.vice,Jordan punch CHAR_0 work stand break room work .
974,care.vice,CHAR_0 run guy throw ball try kick punch they .
975,care.vice,"CHAR_0 talk Helen , realize bad day start cry , comfort she ."
976,care.vice,"CHAR_0 ask Helen day go , start cry bad day , laugh she ."
977,care.vice,Billy laugh CHAR_0 's injury post mean thing social medium .
978,care.vice,Jake run middle fight start punch .
979,care.vice,CHAR_0 figure glass wine hurt once .
980,care.vice,CHAR_0 abduct woman kill cut chunk .
981,care.vice,CHAR_0 decide pay victim order avoid go trial .
982,care.vice,CHAR_0 tell son next time bully bother punch bully nose .
983,care.vice,CHAR_0 start rant every man meet they be rapist .
984,care.vice,CHAR_0 wait figure forget fight have .
985,care.vice,"CHAR_0 buy cocaine take , numb pain emptiness ."
986,care.vice,CHAR_0 threaten landlord let stay house free .
987,care.vice,CHAR_0 punch person cut front line .
988,care.vice,CHAR_0 grab bat garage assault couple teen .
989,care.vice,CHAR_0 say like board game hurt feeling .
990,care.vice,CHAR_0 wince pain offer help man get up .
991,care.vice,CHAR_0 yell soldier call name killer .
992,care.vice,CHAR_0 pretend everything okay order avoid fight .
993,care.vice,"CHAR_0 send encouraging , anonymous letter abuse woman ."
994,care.vice,CHAR_0 son report twice day clean re - bandage wound .
995,care.vice,"CHAR_0 instruct son care wound , include clean re - bandage it ."
996,care.vice,""" Hilda get upset point several "" "" real "" "" problem cry over . """
997,care.vice,Megan ask CHAR_0 know anything would help lessen pain .
998,care.vice,Megan take CHAR_0 's pain medication .
999,care.vice,CHAR_0 keep tell worthless person can not anything right way explain suffering .
1000,care.vice,"CHAR_0 describe symptom wife well can , say hurt terribly ."
1001,care.vice,CHAR_0 jump two boy stop fight right there .
1002,care.vice,CHAR_0 start drink wine kill boredom .
1003,care.vice,"CHAR_0 start cry see gift tell parent love she , demand phone ."
1004,care.vice,"CHAR_0 sternly tell Apple get it , toughen stop cry like baby ."
1005,care.vice,"CHAR_0 decide one drink hurt anything , accept drink offer ."
1006,care.vice,CHAR_0 apologize hurt opponent help carry field continue play .
1007,care.vice,CHAR_0 send person violent threat like one receive person .
1008,care.vice,"CHAR_0 approach dog notice clear sign abuse neglect , walk away afraid confrontation ."
1009,care.vice,"CHAR_0 pick child guise giving ride , rape slowly kill he ."
1010,care.vice,CHAR_0 decide take site illegal denial service attack .
1011,care.vice,"CHAR_0 get tremendously drunk graduation , yell people start fight ."
1012,care.vice,CHAR_0 confront sister boyfriend threatens beat touch little sister .
1013,care.vice,CHAR_0 deflect knife punch woman face repeatedly .
1014,care.vice,"CHAR_0 tell friend house water damage , need stay somewhere else , even though true ."
1015,care.vice,CHAR_0 begin act school getting fight talk back teacher front classmate .
1016,care.vice,Shane think avoid feel pain loss try put mind .
1017,care.vice,CHAR_0 tell listener peaceful action long viable take arm would harm planet .
1018,care.vice,CHAR_0 tell bully he will fight box ring nearby gym .
1019,care.vice,CHAR_0 move bully begin fight make move .
1020,care.vice,Xavier yank CHAR_0 's hair hard enough make cry .
1021,care.vice,CHAR_0 yell employee threaten fire even one minute late future .
1022,care.vice,CHAR_0 take pain pill ignore problem .
1023,care.vice,"CHAR_0 tell Shannon time heal wound forgive she , restart friendship ."
1024,care.vice,Fred tell friend history struggle fascist dictator people fight they .
1025,care.vice,CHAR_0 destroy reef build luxury resort .
1026,care.vice,CHAR_0 stop fill gas station punch right time .
1027,care.vice,CHAR_0 set telescope window watch violence neighbor .
1028,care.vice,"Knowing CHAR_0 pain med , Eddie dig medicine cabinet find shares party ."
1029,care.vice,CHAR_0 punch brother jaw thing say .
1030,care.vice,CHAR_0 call soldier murderer turn back he .
1031,care.vice,CHAR_0 make false harassment accusation teacher principal .
1032,care.vice,Varius tell CHAR_0 support organization promote violence .
1033,care.vice,Jared give CHAR_0 father 's prescription pain medication .
1034,care.vice,"CHAR_0 walk calmly separate fight child , talk they ."
1035,care.vice,CHAR_0 walk hit child stop fight other .
1036,care.vice,CHAR_0 tackle start fight approach another kid .
1037,care.vice,CHAR_0 post emotional video interview one victim ' family .
1038,care.vice,"CHAR_0 say hi look wife see cry , immediately ask what be wrong ."
1039,care.vice,CHAR_0 make salad wife start yell he s wrong CHAR_0 shove knife face attack she .
1040,care.vice,"CHAR_0 start extremely negative emotion towards student threaten they , scared stay away he ."
1041,care.vice,"CHAR_0 tell kid give shoe , hurt ."
1042,care.vice,CHAR_0 go nearby bar drank sorrow away several hour .
1043,care.vice,CHAR_0 decide stop report injury occur .
1044,care.vice,CHAR_0 tell mom go school stomach ache .
1045,care.vice,CHAR_0 pain take opiate painkiller .
1046,care.vice,CHAR_0 get fight person front she .
1047,care.vice,"CHAR_0 stop put gas tank avoid cause damage run fuel road , take several minute ."
1048,care.vice,CHAR_0 buy book magic spell recite spell suppose kill whoever think about .
1049,care.vice,CHAR_0 laugh bully ' taunt ignore call fight .
1050,care.vice,CHAR_0 start yell girlfriend want breakup call name make cry purpose .
1051,care.vice,CHAR_0 tell dad care dad abuse need stop regardless .
1052,care.vice,CHAR_0 talk friend person die fun experience together .
1053,care.vice,CHAR_0 wish friend would get hurt accident .
1054,care.vice,CHAR_0 begin introduce dog park visitor call pet cruel vulgar name .
1055,care.vice,CHAR_0 go home attack embarrassed tell anyone incident .
1056,care.vice,"CHAR_0 verbalize glee sible die , jump celebration ."
1057,care.vice,CHAR_0 throw opponent fake injury stop game goal .
1058,care.vice,"CHAR_0 drag Betty movie , cry whole time miserable ."
1059,care.vice,CHAR_0 start fight rival prove superior .
1060,care.vice,Mindy take kitchen knife stab chest depression .
1061,care.vice,CHAR_0 tell everyone die need money medical bill .
1062,care.vice,Jake take double recommend dosage pain bad .
1063,care.vice,"CHAR_0 throw tantrum , scream cry parent XBox one gift ."
1064,care.vice,CHAR_0 take illegal drug friend numb pain .
1065,care.vice,CHAR_0 punch girlfriend say he will beat every time go restaurant .
1066,care.vice,"CHAR_0 start fight , kick punch man fist ."
1067,care.vice,CHAR_0 threaten explode neighbors house tone noise .
1068,care.vice,CHAR_0 turn computer tell coworker going kill leave office .
1069,care.vice,CHAR_0 go medicine cabinet find prescription pain pill swallow few .
1070,care.vice,CHAR_0 kill think ex anymore .
1071,care.vice,CHAR_0 wrap injury gauze think require that .
1072,care.vice,CHAR_0 become public speaker animal abuse volunteer local shelter cleaning cage .
1073,care.vice,CHAR_0 quickly urge fight dog contact old dog fight friend .
1074,care.vice,CHAR_0 abuse counter pain killer .
1075,care.vice,"CHAR_0 edit entry say someone famous die recently , have not ."
1076,care.vice,CHAR_0 think movie imago torture people fun .
1077,care.vice,CHAR_0 realize can not care puppy reach kill rescue .
1078,care.vice,"CHAR_0 run gas station , punch clerk , take money cash register ."
1079,care.vice,CHAR_0 divorce wife fight make divorce settlement low possible .
1080,care.vice,"CHAR_0 shove elderly man who be walk slowly way man fall , sustain injury ."
1081,care.vice,CHAR_0 pull quickly dial 911 help victim away burn car .
1082,care.vice,Cameron make creepy expression tell CHAR_0 possess ghost murderer .
1083,care.vice,CHAR_0 threaten get roommate kick police pick himself .
1084,care.vice,CHAR_0 stab man death knife .
1085,care.vice,CHAR_0 push guy back punch face .
1086,care.vice,Noah tell CHAR_0 back punch face .
1087,care.vice,"CHAR_0 almost fail final text , Sandy happy CHAR_0 would threat top student ."
1088,care.vice,CHAR_0 slap puppy back head attempt associate pee pain .
1089,care.vice,CHAR_0 physically assault neighbor retaliation robbery .
1090,care.vice,Al tell CHAR_0 want stay despite fight .
1091,care.vice,CHAR_0 punch brother brother want big share estate everyone else .
1092,care.vice,CHAR_0 look site video homeless people attack teen .
1093,care.vice,CHAR_0 go around kill player team .
1094,care.vice,CHAR_0 hit kid get quiet threaten they .
1095,care.vice,CHAR_0 ignore child 's cry continue way home .
1096,care.vice,"CHAR_0 want hurt bully much , hit bully stomach ."
1097,care.vice,"CHAR_0 talk suffering , can not bother listen other suffer ."
1098,care.vice,CHAR_0 threaten neighbor report police continue disgusting behavior .
1099,care.vice,CHAR_0 agree donate money charity stop hunger child also sign volunteer charity organization .
1100,care.vice,CHAR_0 call kill switch company say go pay bill .
1101,care.vice,CHAR_0 attack guy beat baseball bat .
1102,care.vice,CHAR_0 pretend light go killer outside house .
1103,care.vice,"CHAR_0 invite co - worker place drug she , rape she ."
1104,care.vice,CHAR_0 spins guy around punch face .
1105,care.vice,CHAR_0 write article call annihilation Muslims order curtail terrorist attack .
1106,care.vice,CHAR_0 put date rape drug Samantha 's drink away table .
1107,care.vice,"CHAR_0 act like fight never happen , never apologize way act ."
1108,care.vice,CHAR_0 capitulate friend beg write prescription help deal pain .
1109,care.vice,CHAR_0 take vitamin every day think immune system strong enough fight flu .
1110,care.vice,Holly personally attack CHAR_0 can not think counterpoint argument shut down .
1111,care.vice,"CHAR_0 want hurt feeling , tell great idea ."
1112,care.vice,CHAR_0 pretend everything okay successfully avoid fighting .
1113,care.vice,CHAR_0 yell snore passenger waking tell shut harsh tone .
1114,care.vice,"CHAR_0 begin attend grief support group , find people vulnerable message afterlife ."
1115,care.vice,CHAR_0 comfort wife check damage car .
1116,care.vice,CHAR_0 march right woman ask cry demand know .
1117,care.vice,CHAR_0 tell wife feel like abuse lately .
1118,care.vice,CHAR_0 explain child 's lie hurt well homework .
1119,care.vice,"one night CHAR_0 's friend come cry breakup , CHAR_0 proposition he ."
1120,care.vice,"CHAR_0 like way speak to , punch man jaw ."
1121,care.vice,"CHAR_0 slip arsenic grandma 's drink , cause die ."
1122,care.vice,Mandy listen CHAR_0 's story help take mind fight fun thing .
1123,care.vice,CHAR_0 cut distract mind emotional suffering .
1124,care.vice,CHAR_0 plan kill racist .
1125,care.vice,Lydia tell get car figure one day unbrushe tooth hurt .
1126,care.vice,CHAR_0 complain injury throughout day work .
1127,care.vice,CHAR_0 punch guy face .
1128,care.vice,CHAR_0 punch man face strength run away .
1129,care.vice,CHAR_0 threatens beat classmate admit wrong .
1130,care.vice,CHAR_0 send threaten letter neighbor warn mess he .
1131,care.vice,CHAR_0 present case proceed fight friend topic .
1132,care.vice,CHAR_0 take gun threaten shoot order embarrass they .
1133,care.vice,CHAR_0 tell dog attack bear CHAR_0 go gun .
1134,care.vice,stacy go berserk attack CHAR_0 nail .
1135,care.vice,Ronnie punch girlfriend breaking sculpture .
1136,care.vice,CHAR_0 explain friend pro - choice people murderous idiot moral .
1137,care.vice,Marlon tell audience he be accept gift mistreatment Native Americans walk off .
1138,care.vice,CHAR_0 kill mouse remove it .
1139,care.vice,CHAR_0 begins cut arm attempt distract mental pain .
1140,care.vice,CHAR_0 call fire fighter retrieve corpse tell deceased used bully he .
1141,care.vice,"CHAR_0 immediately turn person , punch stomach ."
1142,care.vice,CHAR_0 watch several video people getting hurt nearly die .
1143,care.vice,CHAR_0 comment happy politician soon die .
1144,care.vice,CHAR_0 tell friend die natural part life .
1145,care.vice,CHAR_0 stab dog knife .
1146,care.vice,member counter protest group shove CHAR_0 react know want incite violence delegitimize cause .
1147,care.vice,member counter protest group shove CHAR_0 punch person result group large street brawl .
1148,care.vice,Wayne tell CHAR_0 he be go kill get house .
1149,care.vice,CHAR_0 punch friend call name steal pencil .
1150,care.vice,CHAR_0 feel hopeless kill himself .
1151,care.vice,CHAR_0 attack post everyone agree friend .
1152,care.vice,CHAR_0 drive fast highway laugh friend start cry .
1153,care.vice,"CHAR_0 decide pain likely subside , ignore focus work ."
1154,care.vice,CHAR_0 grabs stick assaults bully CHAR_0 harm .
1155,care.vice,CHAR_0 get big fight mom demand move immediately .
1156,care.vice,CHAR_0 tell father can not mow lawn also nurse recent injury .
1157,care.vice,CHAR_0 follow coworker home sexually assault she .
1158,care.vice,Jamie spray paint window CVS name person kill police .
1159,care.vice,CHAR_0 grabs baby hit make stop cry .
1160,care.vice,CHAR_0 tell kid allow near house threatens prosecute trespassing .
1161,care.vice,CHAR_0 deck tristian one punch arm response .
1162,care.vice,"Alberta report suspect abuse , CHAR_0 's family get visit Children 's Services ."
1163,care.vice,Dr. CHAR_0 prescribe opioid drug patient pain without disclose he be getting pay .
1164,care.vice,CHAR_0 punch waiter face .
1165,care.vice,"CHAR_0 get friend , find thief he be alone , attack he ."
1166,care.vice,"sick suffering allergic reaction , Clara kick CHAR_0 's cat come near ."
1167,care.vice,CHAR_0 approach kid 's mother warn child 's behavior could get someone hurt .
1168,care.vice,CHAR_0 turn start angrily yell kid keep track stuff else he will hurt someone .
1169,care.vice,CHAR_0 pull one person punch people face .
1170,care.vice,CHAR_0 tell Justin well watch branch well destroy they .
1171,care.vice,"CHAR_0 charge drunk customer , disarm he , punch repeatedly ."
1172,care.vice,"CHAR_0 stab cab driver repeatedly , cause grave injury ."
1173,care.vice,CHAR_0 grabs megaphone tell crowd attack police destroy symbol capitalism around they .
1174,care.vice,"CHAR_0 approach register , threaten cashier , demand money register ."
1175,care.vice,CHAR_0 decide kill dog dog starve become stray .
1176,care.vice,CHAR_0 threaten ex - girlfriend physical harm return hat he .
1177,care.vice,"CHAR_0 get rage pound man ground , beat man die ."
1178,care.vice,CHAR_0 force car pull get fight driver .
1179,care.vice,CHAR_0 take game away brother start fight who be turn be .
1180,care.vice,CHAR_0 roll window tell people come near car else he will get fight they .
1181,care.vice,"CHAR_0 get baseball bat , smash living room tv , threaten destroy house allow go concert ."
1182,care.vice,CHAR_0 decide hill end pain .
1183,care.vice,"CHAR_0 continue fight next day , argue do nothing wrong ."
1184,care.vice,CHAR_0 tell friend smell like something die .
1185,care.vice,Jake whimper pain glance CHAR_0 illicit sympathy .
1186,care.vice,CHAR_0 tell professor grandmother die need extension .
1187,care.vice,Nia skips funeral cry room herself .
1188,care.vice,CHAR_0 go dentist even start feel tooth pain .
1189,care.vice,Alvin tell CHAR_0 fight fault refuse apologize word .
1190,care.vice,CHAR_0 grabs daughter 's boyfriend collar threatens beat he .
1191,care.vice,"CHAR_0 want family get way decide kill himself , tell they ."
1192,care.vice,CHAR_0 kill family dog cook dinner .
1193,care.vice,"CHAR_0 decide turn phone off , hang alone bedroom , drink sorrow away ."
1194,care.vice,CHAR_0 join fight hope help friend .
1195,care.vice,CHAR_0 kill order stop feel much pain .
1196,care.vice,Brad scold CHAR_0 poor grade threaten ground score improve .
1197,care.vice,CHAR_0 tell parent want kill sad .
1198,care.vice,Zach try kill neighbor CHAR_0 car himself .
1199,care.vice,CHAR_0 take toy away son say back he be do cry .
1200,care.vice,"CHAR_0 dive back substance abuse without hesitation party , line line roll twenty dollar bill ."
1201,care.vice,"CHAR_0 start poke deer 's wound , hurt more , try make friend laugh ."
1202,care.vice,Jack conversation boyfriend express discomfort possibly work together .
1203,care.vice,"Randy tell son fight , hope gets beat next time , learn lesson ."
1204,care.vice,CHAR_0 make story ex - husband threaten break home report police .
1205,care.vice,CHAR_0 cut front kid line use slide threatens let go first .
1206,care.vice,CHAR_0 think kill someone else pleasurable experience .
1207,care.vice,"CHAR_0 ride friend 's bike conscientiously , take care get damage ."
1208,care.vice,CHAR_0 ride friend 's bicycle roughly wrong terrain damage wheel .
1209,care.vice,"Meredith stop help CHAR_0 see look like might hurt , wait assistance arrive ."
1210,care.vice,Laurence tell CHAR_0 hurt similar manner violently masturbate picture Betty White .
1211,care.vice,CHAR_0 get person 's face threatens punch they .
1212,care.vice,"CHAR_0 pull gun arrest killer , decide let court handle it ."
1213,care.vice,"CHAR_0 pull gun , shoot serial killer , take chance ."
1214,care.vice,faith tell friend clear CHAR_0 kill jewish community .
1215,care.vice,"faith tell friend accord learn , CHAR_0 kill Jews ."
1216,care.vice,"CHAR_0 cry friend , tear stream eye ."
1217,care.vice,CHAR_0 find late mother 's pain pill take they .
1218,care.vice,CHAR_0 start use heroin way alleviate moral pain .
1219,care.vice,CHAR_0 often make controversial political statement verbally attack people post .
1220,care.vice,CHAR_0 punch mocker nose give nosebleed .
1221,care.vice,"CHAR_0 start organize bum fight , videotape sell access Internet ."
1222,care.vice,CHAR_0 threaten teacher violence give good grade .
1223,care.vice,"CHAR_0 adopt pit bull which , due naturally violent tendency towards dog , kill pug dog park ."
1224,care.vice,CHAR_0 decide heat old leftover pasta couple week ago assume microwave kill germ .
1225,care.vice,"CHAR_0 take grocery inside first gets distract , leave child die heatstroke car ."
1226,care.vice,"CHAR_0 take recommend dose sedative , feel less pain ."
1227,care.vice,CHAR_0 throw object around office lay floor cry .
1228,care.vice,"CHAR_0 tell wife know woman , really care die ."
1229,care.vice,CHAR_0 go teacher help cry scream situation home .
1230,care.vice,CHAR_0 begin harm small animal neighborhood way act pain feel well .
1231,care.vice,"Vance tell CHAR_0 find wife ’s infidelity , huge fight leave ."
1232,care.vice,CHAR_0 get bill sit beside mother show shopping habit harm house budget .
1233,care.vice,CHAR_0 go bully kicks crotch punch face .
1234,care.vice,CHAR_0 take pitbull underground dog fighting ring increase aggressiveness .
1235,care.vice,CHAR_0 call therapy hotline talk pain care therapist .
1236,care.vice,"CHAR_0 tell mom dad abuse he , they will get divorce ."
1237,care.vice,Jake talk CHAR_0 tell got deserve murder people .
1238,care.vice,Ollie watch abuse go without ever say anything .
